iter	Accuracy	MultiClass
0	0.5835567471	1.639773467
1	0.5808757819	1.537448923
2	0.6032171582	1.452203226
3	0.6076854334	1.388847164
4	0.6050044683	1.316989855
5	0.6085790885	1.266620072
6	0.6112600536	1.222362344
7	0.6166219839	1.178408778
8	0.6166219839	1.139881632
9	0.6255585344	1.10651534
10	0.6336014298	1.074229677
11	0.6389633601	1.049654315
12	0.6487935657	1.026201218
13	0.6514745308	1.003936813
14	0.6523681859	0.9849140971
15	0.6559428061	0.9684683939
16	0.6568364611	0.9525635147
17	0.6595174263	0.9391631326
18	0.6657730116	0.9236419523
19	0.6693476318	0.9109706134
20	0.6756032172	0.8994112073
21	0.6782841823	0.8864093881
22	0.6836461126	0.8770251842
23	0.6836461126	0.8676891285
24	0.690795353	0.8569825511
25	0.690795353	0.8493292126
26	0.6890080429	0.8427250633
27	0.6934763181	0.8328274686
28	0.6961572833	0.823912155
29	0.7015192136	0.8141097268
30	0.7068811439	0.803609006
31	0.7077747989	0.7964945685
32	0.7104557641	0.7884193529
33	0.7122430742	0.783062316
34	0.7167113494	0.7769473655
35	0.7113494191	0.7696101327
36	0.7140303843	0.7637597708
37	0.7149240393	0.7599741319
38	0.7149240393	0.7533127325
39	0.7211796247	0.7489849443
40	0.7238605898	0.7441720426
41	0.7310098302	0.7374638824
42	0.7301161752	0.733359848
43	0.7336907954	0.7280260095
44	0.7390527256	0.7230521094
45	0.7399463807	0.7162541288
46	0.7417336908	0.7118876779
47	0.7444146559	0.7068540493
48	0.745308311	0.7025887478
49	0.7435210009	0.6995135173
50	0.7470956211	0.694577784
51	0.7497765862	0.6913611825
52	0.7488829312	0.6888901338
53	0.7533512064	0.6830609301
54	0.7533512064	0.6800766882
55	0.7587131367	0.6756626298
56	0.7569258266	0.671577667
57	0.7578194817	0.6672086418
58	0.7596067918	0.662168192
59	0.763181412	0.6582611594
60	0.7667560322	0.6537999548
61	0.7667560322	0.6482814422
62	0.7667560322	0.6459576481
63	0.7649687221	0.6405390485
64	0.7685433423	0.6377542604
65	0.7730116175	0.6342904334
66	0.7756925827	0.6299030172
67	0.7765862377	0.6262225149
68	0.781054513	0.622104336
69	0.7837354781	0.6184283849
70	0.7828418231	0.6156346686
71	0.7882037534	0.6094632017
72	0.7935656836	0.6063704091
73	0.7953529937	0.6024874939
74	0.7980339589	0.5982278591
75	0.7971403038	0.5968585574
76	0.7971403038	0.5929868238
77	0.8025022341	0.5897236427
78	0.8016085791	0.5859839707
79	0.8087578195	0.5839999199
80	0.8132260947	0.5796195249
81	0.8096514745	0.5775349125
82	0.8123324397	0.573225054
83	0.8150134048	0.5695066296
84	0.8159070599	0.5654967795
85	0.818588025	0.5619973955
86	0.8248436104	0.5587478533
87	0.8257372654	0.5547161393
88	0.8257372654	0.5508950769
89	0.8275245755	0.5486990782
90	0.8302055407	0.5469452912
91	0.8328865058	0.544430964
92	0.8373547811	0.5415688548
93	0.835567471	0.5379448001
94	0.8382484361	0.5349634708
95	0.8391420912	0.533890535
96	0.8427167113	0.5310967078
97	0.8453976765	0.5287047484
