iter	Passed	Remaining
0	1996	1994635
1	2026	1011102
2	2094	696112
3	2165	539248
4	2171	432171
5	2249	372716
6	2362	335198
7	2537	314651
8	2567	282699
9	2684	265784
10	2870	258064
11	2960	243779
12	3050	231582
13	3232	227647
14	3368	221221
15	3397	208957
16	3426	198135
17	3522	192175
18	3643	188098
19	3773	184915
20	3925	183022
21	3954	175814
22	4075	173123
23	4142	168446
24	4211	164249
25	4275	160153
26	4358	157083
27	4457	154727
28	4486	150215
29	4546	147009
30	4619	144385
31	4678	141511
32	4737	138833
33	4834	137349
34	4902	135180
35	4971	133115
36	5046	131348
37	5079	128586
38	5141	126693
39	5212	125110
40	5434	127123
41	5545	126493
42	5574	124075
43	5718	124240
44	5814	123404
45	5882	122001
46	5912	119876
47	6070	120408
48	6136	119104
49	6165	117153
50	6231	115947
51	6365	116042
52	6400	114356
53	6463	113238
54	6546	112477
55	6739	113605
56	6768	111972
57	6959	113027
58	7190	114677
59	7395	115860
60	7557	116337
61	7637	115547
62	7716	114774
63	7882	115288
64	7912	113812
65	8002	113253
66	8170	113780
67	8262	113240
68	8291	111870
69	8383	111378
70	8472	110856
71	8507	109648
72	8633	109629
73	8720	109121
74	8784	108339
75	9070	110273
76	9172	109955
77	9252	109370
78	9324	108705
79	9356	107604
80	9469	107435
81	9548	106896
82	9609	106162
83	9710	105895
84	9778	105264
85	9810	104262
86	9883	103724
87	10057	104233
88	10147	103864
89	10218	103317
90	10282	102710
91	10353	102186
92	10513	102531
93	10596	102131
94	10660	101552
95	10726	101003
96	10755	100129
97	10853	99900
98	10919	99379
99	11067	99605
100	11127	99048
101	11234	98912
102	11334	98712
103	11490	98998
104	11523	98228
105	11672	98445
106	11702	97669
107	11778	97280
108	11831	96716
109	11902	96301
110	11984	95984
111	12064	95654
112	12187	95669
113	12261	95295
114	12328	94877
115	12462	94973
116	12491	94271
117	12554	93840
118	12627	93489
119	12834	94122
120	12967	94200
121	13091	94213
122	13132	93635
123	13283	93839
124	13362	93535
125	13394	92913
126	13567	93261
127	13634	92884
128	13673	92319
129	13753	92044
130	13849	91873
131	13899	91400
132	13958	90990
133	14053	90824
134	14127	90519
135	14298	90837
136	14417	90818
137	14554	90911
138	14715	91148
139	14745	90577
140	14863	90551
141	14933	90234
142	14963	89674
143	15210	90416
144	15299	90216
145	15328	89662
146	15498	89931
147	15535	89431
148	15698	89660
149	15808	89581
150	15875	89261
151	16015	89347
152	16045	88825
153	16154	88743
154	16234	88503
155	16312	88252
156	16416	88148
157	16447	87648
158	16539	87480
159	16634	87330
160	16715	87108
161	16744	86617
162	16894	86753
163	16975	86535
164	17006	86061
165	17073	85779
166	17170	85647
167	17219	85275
168	17294	85041
169	17433	85117
170	17520	84936
171	17629	84869
172	17663	84435
173	17692	83988
174	17775	83798
175	17855	83597
176	18010	83742
177	18039	83306
178	18070	82883
179	18154	82705
